Country,Id
Albania,ALB
Andorra,AND
Austria,AUT
Belarus,BLR
Belgium,BEL
Bosnia And Herzegovina,BIH
Bulgaria,BGR
Croatia,HRV
Cyprus,CYP
Czech Republic,CZE
Denmark,DNK
Estonia,EST
Faroe Islands,FRO
Finland,FIN
France,FRA
Germany,DEU
Gibraltar,GIB
Greece,GRC
Hungary,HUN
Iceland,ISL
Ireland,IRL
Italy,ITA
Latvia,LVA
Liechtenstein,LIE
Lithuania,LTU
Luxembourg,LUX
Macedonia,MKD
Malta,MLT
Moldova,MDA
Monaco,MCO
Montenegro,MNE
Netherlands,NLD
Norway,NOR
Poland,POL
Portugal,PRT
Romania,ROU
San Marino,SMR
Serbia,SCG
Slovakia,SVK
Slovenia,SVN
Spain,ESP
Sweden,SWE
Switzerland,CHE
Turkey,TUR
Ukraine,UKR
United Kingdom,GBR
